Source,TagName,DateTime,State,Value,Unit,Quality,QualityStatus
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,34:53.4,,63.79,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,06:53.3,,63.57,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,08:53.5,,63.49,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,12:53.3,,63.75,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,24:53.5,,62.9,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,42:53.9,,63.42,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,44:53.9,,63.42,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,06:54.5,,61.7,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,16:54.6,,62.77,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,18:54.8,,62.78,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,56:55.1,,62.38,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,12:55.3,,63.08,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,52:56.8,,62.61,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:55.6,,62.61,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:55.7,,60.54,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,28:55.9,,61.33,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,32:56.5,,61.45,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,50:56.8,,62.59,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:56.5,,60.67,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,02:56.6,,60.96,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,04:56.6,,61.05,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,32:56.8,,63.3,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,38:57.2,,60.93,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,40:57.2,,60.93,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,08:57.9,,59.78,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,14:57.9,,59.78,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,16:58.0,,59.78,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,12:58.4,,59.67,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,46:58.6,,60.23,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,50:58.6,,60.23,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,52:58.6,,60.22,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,08:59.0,,59.95,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,43:00.3,,62.16,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,25:00.4,,61.72,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,27:00.5,,61.72,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,37:01.7,,62.76,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,57:01.3,,60.73,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,59:01.2,,60.73,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,03:01.1,,60.68,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,59:01.4,,59.46,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,27:01.5,,60.99,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,37:01.8,,60.81,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,39:02.0,,60.81,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,39:02.5,,60.45,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,13:02.5,,60.58,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,15:02.5,,60.58,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,46:12.8,,62.1,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,48:12.5,,62.1,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,50:12.9,,62.1,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,38:12.8,,62.34,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,20:11.6,,60.9,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,24:12.2,,60.9,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,26:12.4,,60.98,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,36:12.5,,61.18,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,00:12.9,,59.19,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,56:12.3,,59.8,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,00:12.3,,59.88,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,34:12.5,,60.6,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,34:13.0,,60.39,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,36:13.4,,60.4,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,36:13.1,,60.2,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,48:13.5,,68.94,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,10:14.1,,64.36,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,12:14.4,,64.4,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,50:14.3,,64.66,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,50:14.2,,64.54,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,22:20.0,,77.74,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,34:19.6,,80.74,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,28:19.9,,68.39,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,30:19.9,,68.37,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,04:20.2,,64.9,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,06:20.3,,64.85,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:21.0,,64.02,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,42:20.6,,65.8,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,40:20.9,,65.73,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,42:20.4,,65.73,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,50:21.4,,64.95,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,16:21.5,,65.26,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,20:21.1,,65.24,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,04:21.4,,62.11,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,50:21.6,,63.73,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,52:21.8,,63.76,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,28:21.9,,64.05,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,12:22.5,,63.01,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,26:22.4,,63.61,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,28:22.6,,63.62,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:22.9,,63.77,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,24:22.8,,62.09,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,02:23.0,,63.66,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,04:23.1,,63.62,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,54:23.3,,63.99,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,50:23.4,,62.35,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,36:23.8,,63.4,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,38:24.7,,63.4,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,22:23.7,,63.72,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,46:24.2,,61.34,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,12:24.4,,61.64,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,14:24.3,,61.73,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,44:10.7,,63.01,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,48:10.8,,63,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,52:10.7,,63.01,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,28:10.9,,63.06,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,46:11.2,,61.13,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,24:11.2,,61.18,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,26:11.2,,61.18,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,42:11.2,,61.13,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,16:11.4,,63.05,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,00:11.8,,61.54,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,02:11.6,,61.54,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,22:11.9,,59.92,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,34:11.9,,59.94,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,36:11.9,,59.92,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,04:11.9,,59.78,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,24:12.1,,61.73,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,10:12.3,,61.26,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,12:12.3,,61.29,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,16:12.3,,61.54,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,46:12.6,,59.52,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,48:12.6,,59.52,%,192,0
STL Domae4 M1 Laser Humidity,STL Domae4 M1 Laser1 Humidity,30:13.4,,59.31,%,192,0
